Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Ankylosauria,Euoplocephalus,tutus,Euoplocephalus,tutus,ROM 813,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,176,145,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,was ROM 833,,,,3,0,3,
Ankylosauria,,,Euoplocephalus,tutus,ROM 813,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,173,145,,,,,,,,,,,,,,,,Andrew A. Farke,,,,,,,,3,0,3,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,BYU 15502,Maidment et al 2008,suppl. xxxi-xxxii,,,,,,,,,,,,300,,,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,2,0,2,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 11255,Maidment et al 2008,"suppl. xxxi-xxxiii, xxxv",,,,,,,,,,,,310,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,2,0,2,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 1307,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 3565,Maidment et al 2008,suppl. xxxiii,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,1,0,1,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 3646,Gaston et al 2001,"388, 392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Aidan Sites,,,,,,,1,1,0,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 3646,Maidment et al 2008,suppl. xxxv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Diane Dawson,,,,,,,1,1,0,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 3646,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,1,1,0,
Ankylosauria,Gastonia,burgei,Gastonia,burgei,CEUM 9464,Gaston et al 2001,"388, 392",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Aidan Sites,,,,,,,1,0,1,
Ankylosauria,Hoplitosaurus,marshi,Hoplitosaurus,marshi,USNM 4572,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476,,,,,,90,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,3,3,0,
Ankylosauria,Hoplitosaurus,marshi,Hoplitosaurus,marshi,USNM 4752,Ford & Kirkland 2001,247-248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Roman E. Ulansky,,,,,,,1,1,0,
