Clade,Genus,Species,GenusFinal,SpeciesFinal,Specimen,Reference,Page,R L,L L,L,R L,L L,L,R L,L L,L,R L,L L,L,L Min Shaft W,R Min Shaft W,Min Shaft W,R Circ,L Circ,Circ,R L,L L,L,R L,L L,L,MC I L,MC II L,MC III L,MC IV L,MC V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,V-1 L,V-2 L,V-3 L,V-4 L,R L,L L,L,R Circ,L Circ,Circ,R Midshaft ML W,L Midshaft ML W,Midshaft ML W,R Midshaft AP L,L Shaft AP L,Shaft AP L,R L,L L,L,R L,L L,L,MT I L,MT II L,MT III L,MT IV L,MT V L,I-1 L,I-2 L,II-1 L,II-2 L,II-3 L,III-1 L,III-2 L,III-3 L,III-4 L,IV-1 L,IV-2 L,IV-3 L,IV-4 L,IV-5 L,Entry 1,Entry 2,,,,,,,Total Entries,Fem Entries,Difference,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 548m,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.6,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 549,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,1,0,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 549,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,400,,,,,,,,,990,,,,,345,412,320,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,6,2,4,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 549,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,400,,,,,,,,,990,,,,,345,412,320,,,,,,,,,,,,,,,,Robert J. Taylor,,,,,,,,6,2,4,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 553,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,1,0,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 562,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,0,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,MOR 773,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,,,448,,,142.4,,,100.1,,,,,,,,371,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,5,4,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 87.79.113,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,2,1,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 87.79.114,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,81,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,2,1,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 87.79.115,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,2,1,1,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 87.79.219,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,1,0,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 87.79.265,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,1,0,
Hadrosauridae,Hypacrosaurus,stebingeri,Hypacrosaurus,stebingeri,TMP 89.79.52,Horner and Currie 1994,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Bruce D.Woollatt,,,,,,,1,1,0,
Hadrosauridae,indet.,,indet.,,Blasi5-8,Cruzado-Caballero & Canudo 2006,75-76,,,,,,,,,,,160e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Mauricio Molina,,,,,,,1,0,1,
Hadrosauridae,Pteropelyx,grallipes,indeterminate,indeterminate,AMNH 3971,Cope 1889,905,,,,,,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890,,,,135,,,,,,,,,,,,,,,,Roman E. Ulansky,J. J. Dziak,,,,,,,3,0,3,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5023,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.6,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5219,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5219,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,348,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,155,,,,,,51.6,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470,,,175,,,,,,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454,,,168,,,,,,56.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442,,,162,,,,,,45.3,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5358,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465,,,165,,,,,,49,,,379,,,,,,,,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,4,3,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 5899,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,285,211.5,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,0,3,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,108,,,,,,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,,,113,,,,,,29.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,313,,,126,,,,,,40.6,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310,,,128,,,,,,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,3,3,0,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,AMNH 6573,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283,,,119,,,,,,32,,,263,,,,,,,,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,4,3,1,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,FMNH (mount),personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1082,,,,,,,,,152.4,,,975,,,971,,332,376,300,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,7,2,5,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,MOR 471,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,,,250,,,98.3,,,47.6,,,,,,,,191,227,184,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,7,4,3,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,NMMNH P-25057,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346,,,,,,135,,,125,,,1235,,,1181,,349,440,405,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,8,3,5,
Hadrosauridae,indeterminate,indeterminate,indeterminate,indeterminate,ROM 706,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.6,,,52.5,,,16.6,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Hadrosauridae,Procheneosaurus,convincens,Jaxartasaurus,aralensis,PIN 2230,Rozhdestvensky 1968,,,,225,,,430e,,,,315,330,,,,,,,,350e,,,340,,,,,,,,,,,,,,,,,,,,,,,,500,560,,,,,,,,,,,590,560,,550,520,,,185,230,170,,,,55,,,70,,,,55,,,,,Roman E. Ulansky,Christian Foth,,,,,,,18,2,16,
Hadrosauridae,Kritosaurus,australis,Kritosaurus,australis,MACN-RN2,Bonaparte et al. 1984,292,,,,,,550e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Robert J. Taylor,,,,,,,1,0,1,
Hadrosauridae,Kritosaurus,Indet,Kritosaurus,Indet,PASAC-1,Kirkland et al. 2006,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,1070,,,,,,,,,,,,,,,,,,,,,,,,,,Tom H. Green,Leo W Sham,,,,,,,2,2,0,
Hadrosauridae,Kritosaurus,sp.,Kritosaurus,sp.,(see pp. 165-166),Davies 1983,"50, 111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,33,87,73,,,,95,,,,,38,,,,1265,,,,,,,,,,,,1114,,,,,345,396+,300+,,,,,60,,,48,38,,,45,23,,124,Robert J. Taylor,Christian Foth,all from WPA quarry L3,,,,,,17,1,16,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,AMNH 5340,Davies 1983,"47, 69",,,,,,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,Note: Juvenile,,,,,,2,1,1,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 351,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,was NMC 351,,,,1,1,0,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 351,Gilmore 1924b,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,,Roman E. Ulansky,Robert J. Taylor,Andrew A. Farke,measurements taken in field,was NMC 351,,,,2,1,1,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 351,combined,,,,,,,,,,,,,305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1117,,,,,,,,,,,,1066,,,,,,,,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,3,1,2,
Hadrosauridae,Lambeosaurus,clavinitialis,Lambeosaurus,lambei,CMN 8703,Morris 1972,778,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,William Miller,,,was NMC 8703,,,,1,0,1,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 8703,Davies 1983,69,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Christian Foth,,,was NMC 8703,,,,2,1,1,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 8703,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,1000,,,940,,,,300,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,was NMC 8703,,,,4,1,3,
Hadrosauridae,Lambeosaurus,clavinitialis,Lambeosaurus,lambei,CMN 8703,Lull and Wright 1942,,,,,,,,,,950,,,520,,,,,,,,,660,,,616,,,265,,,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,1000,,,940,,,,,300,,,,,,,,,,,,,,,Andrew A. Farke,Christian Foth,,,,,,,9,1,8,
Hadrosauridae,Lambeosaurus,clavinitialis,Lambeosaurus,lambei,CMN 8703,Sternberg 1935,23,,,,,,850e,,,,,,520,,,,,,,,,660,,,616,,220,265,250,100,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,1000,,,940,,, ,300,,,,,,,,,,,,,,,,Bruce D. Woollatt,Roman E. Ulansky,,,was GSC 8703,,,,13,1,12,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,CMN 8703,combined,,,,,,,850,,,950,,,520,,,,,,,,,660,,,616,,220,265,250,100,,,,,,,,,,,,,,,,,,,1020,,,,,,,,,,,,1000,,,940,,,,300,300,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,14,1,13,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,Egi & Weishampel 2002,45,,,,,,,,,,,,560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,,,,,,,1,0,1,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,was ROM 6474,,,,,1,1,0,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,personal observation ,,,,,,,,,,,520,532,,,,,224,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1095,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jordan C. Mallon,N/A,,,,,,,6,2,4,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078,,,359,,,116.1,,,104.7,,,939.5,,,896.5,,265,357.5,275,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,was ROM 6474,,,,,9,4,5,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,Brett-Surman 1989,68-69 (Table 4),,,,,,914,,,,,,521,,,,,,,,,679,,,610,,,254,,,,,,,,,,,,,,,,,,,,,1067,,,,,,,,,,,,953,,,,,,343,,,,,,,,,,,,,,,,,Mauricio Molina,Robert J. Taylor,,,,,,,8,1,7,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,ROM 1218,combined,,,,,,,914,,,,,,533,,,,224,218,,,,679,,,610,,,254,,,,,,,,,,,,,,,,,,,,,1080,,,377,,,116,,,105,,,946,,,897,,265,350,275,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,16,4,12,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,TMP 82.38.1,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,1,1,0,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,TMP 82.38.1,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.5,,,429,,,155.2,,,92.7,,,1027.5,,,993,,311,420.5,312,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,9,4,5,
Hadrosauridae,Lambeosaurus,lambei,Lambeosaurus,lambei,TMP 82.38.1,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,429,,,155,,,93,,,1028,,,993,,311,421,312,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,9,4,5,
Hadrosauridae,Lambeosaurus,magnicristatus,Lambeosaurus,magnicristatus,TMP 66.4.1,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Hadrosauridae,Lambeosaurus,magnicristatus,Lambeosaurus,magnicristatus,TMP 66.4.1,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,,,,,,,,102.8,,,1010,,,970,,,371,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,5,2,3,
Hadrosauridae,Lambeosaurus,magnicristatus,Lambeosaurus,magnicristatus,TMP 66.4.1,Brett-Surman 1989,68-69 (Table 4),,,,,,780,,,,,,505,,,,,,,,,,,,675e,,,277,,,,,,,,,,,,,,,,,,,,,1055,,,,,,,,,,,,1010,,,,,,,,,,,,,,,,,,,,,,,Mauricio Molina,Robert J. Taylor,,,,,,,6,1,5,
Hadrosauridae,Lambeosaurus,magnicristatus,Lambeosaurus,magnicristatus,TMP 66.4.1,Evans and Reisz 2007,382,,,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,82,,,54,,,,,,,,39,,,,,,,,,,,,,,,,,1005,,,968,,,,,,,,,,,155,,,,,,,,,Roman E. Ulansky,Roberto Takata,Christian Foth,,,,,,7,0,7,
Hadrosauridae,Lambeosaurus,magnicristatus,Lambeosaurus,magnicristatus,TMP 66.4.1,combined,,,,,,,780,,,,,,505,,,,,,,,,,,,675,,,276,,,,,82,,,54,,,,,,,,39,,,,,1018,,,,,,,,,103,,,1008,,,969,,,371,,,,,,,,155,,,,,,,,,"Doug Henning, Jr.",,,,,,,,13,2,11,
Hadrosauridae,Lophorhothon,atopus,Lophorhothon,atopus,FMNH P27383,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616,,,211,,,78.3,,,45,,,574,,,,,187.9,237.5,168.4,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,8,4,4,
Hadrosauridae,Lophorhothon,atopus,Lophorhothon,atopus,FMNH P27383,Langston 1960,336-339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,635e,,,,,,,,,,,,580,,537,,,,184 / 183,234 / 245,175 / 178,,,, - / 80, - 35e /,/ 62,/ 97,37 / 43,/ 30,, - / 95,,24 / 23,26 / -,,Robert J. Taylor,Christian Foth,Note: Juvenile,,,,,,16,1,15,
Hadrosauridae,Lophorhothon,atopus,Lophorhothon,atopus,FMNH P27383,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,626,,,211,,,78,,,45,,,577,,,537,,186,239,174,,,,80,35,62,97,40,30,,95,,24,26,,"Doug Henning, Jr.",,,,,,,,19,4,15,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 ?,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,247,,,75.8,,,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 1989,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,2,2,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 1989,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,,,351,,,72.3,,,138.3,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 6-27-90-3,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,,,244,,,85.1,,,64.2,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 7-12-91-45,Carrano 2006,Table A8.1 (unnumbered),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robert J. Taylor,Andrew A. Farke,David Button,,,,,,1,1,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 7-12-91-45,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,245,,,93.3,,,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,4,4,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 7-12-91-45,combined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,245,,,93,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,"Doug Henning, Jr.",,,,,,,,4,4,0,
Hadrosauridae,Maiasaura,peeblesorum,Maiasaura,peeblesorum,MOR 005 7-13-90,personal observation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,495,,,,,,,,,,,,,,,,,,,,,,,Matthew T. Carrano,N/A,,,,,,,1,0,1,
